timestamp,transformer_id,transformer_load,power
2026-02-01 10:55:56,TX-001,19053.203,19053.203
2026-02-01 10:55:58,TX-001,19053.674,19053.674
2026-02-01 10:56:00,TX-001,19053.929,19053.929
2026-02-01 10:56:02,TX-001,19053.982,19053.982
2026-02-01 10:56:04,TX-001,19053.902,19053.902
2026-02-01 10:56:06,TX-001,19053.684,19053.684
2026-02-01 10:56:08,TX-001,19053.784,19053.784
2026-02-01 10:56:10,TX-001,19054.144,19054.144
2026-02-01 10:56:12,TX-001,19053.948,19053.948
2026-02-01 10:56:14,TX-001,19054.202,19054.202
2026-02-01 10:56:16,TX-001,19054.23,19054.23
2026-02-01 10:56:18,TX-001,19053.982,19053.982
2026-02-01 10:56:20,TX-001,19054.235,19054.235
2026-02-01 10:56:22,TX-001,19054.166,19054.166
2026-02-01 10:56:24,TX-001,5535.831,5535.831
2026-02-01 10:56:26,TX-001,1716.637,1716.637
2026-02-01 11:05:35,TX-001,3642.964,3642.964
2026-02-01 11:05:37,TX-001,950.521,950.521
2026-02-01 11:05:39,TX-001,422.613,422.613
2026-02-01 11:05:41,TX-001,165.475,165.475
2026-02-01 11:05:43,TX-001,80.6,80.6
2026-02-01 11:05:45,TX-001,37.735,37.735
2026-02-01 11:05:47,TX-001,22.052,22.052
2026-02-01 11:05:49,TX-001,22.081,22.081
2026-02-01 11:05:51,TX-001,22.61,22.61
2026-02-01 11:05:53,TX-001,22.47,22.47
2026-02-01 11:05:55,TX-001,22.52,22.52
2026-02-01 11:05:57,TX-001,22.705,22.705
2026-02-01 11:05:59,TX-001,21.342,21.342
2026-02-01 11:06:01,TX-001,21.542,21.542
2026-02-01 11:06:03,TX-001,21.31,21.31
2026-02-01 11:06:05,TX-001,21.382,21.382
2026-02-01 11:06:07,TX-001,21.341,21.341
2026-02-01 11:06:09,TX-001,21.258,21.258
2026-02-01 11:06:11,TX-001,21.048,21.048
2026-02-01 11:06:13,TX-001,21.237,21.237
2026-02-01 11:06:15,TX-001,21.516,21.516
2026-02-01 11:06:17,TX-001,21.604,21.604
2026-02-01 11:06:19,TX-001,21.687,21.687
2026-02-01 11:06:21,TX-001,22.699,22.699
2026-02-01 11:06:23,TX-001,22.635,22.635
2026-02-01 11:06:25,TX-001,24.921,24.921
2026-02-01 11:06:27,TX-001,28.532,28.532
2026-02-01 11:06:29,TX-001,44.613,44.613
2026-02-01 11:06:31,TX-001,92.652,92.652
2026-02-01 11:06:33,TX-001,60.768,60.768
2026-02-01 11:06:35,TX-001,43.377,43.377
2026-02-01 11:06:37,TX-001,27.415,27.415
2026-02-01 11:06:39,TX-001,24.27,24.27
2026-02-01 11:06:41,TX-001,24.095,24.095
2026-02-01 11:06:43,TX-001,24.755,24.755
2026-02-01 11:06:45,TX-001,24.725,24.725
2026-02-01 11:06:47,TX-001,24.735,24.735
2026-02-01 11:06:49,TX-001,24.751,24.751
2026-02-01 11:06:51,TX-001,24.936,24.936
2026-02-01 11:06:53,TX-001,25.35,25.35
2026-02-01 11:06:55,TX-001,25.562,25.562
2026-02-01 11:06:57,TX-001,25.97,25.97
2026-02-01 11:06:59,TX-001,25.551,25.551
2026-02-01 11:07:01,TX-001,25.372,25.372
2026-02-01 11:07:03,TX-001,25.14,25.14
2026-02-01 11:07:05,TX-001,25.226,25.226
2026-02-01 11:07:07,TX-001,25.543,25.543
2026-02-01 11:07:09,TX-001,25.608,25.608
2026-02-01 11:07:11,TX-001,12.501,12.501
2026-02-01 11:07:13,TX-001,6.172,6.172
2026-02-01 11:07:15,TX-001,4.457,4.457
2026-02-01 11:07:17,TX-001,4.036,4.036
2026-02-01 11:07:19,TX-001,3.917,3.917
2026-02-01 11:07:21,TX-001,3.616,3.616
2026-02-01 11:07:23,TX-001,3.833,3.833
2026-02-01 11:07:25,TX-001,3.866,3.866
2026-02-01 11:07:27,TX-001,4.104,4.104
2026-02-01 11:07:29,TX-001,3.995,3.995
2026-02-01 11:07:31,TX-001,4.541,4.541
